station,lon,lat
100341,-99.5455302,19.17334825
100342,-99.49788003,19.17257539
100343,-99.45023041,19.17178767
100344,-99.40258134,19.17098509
100345,-99.35493284,19.17016765
100346,-99.30728491,19.16933536
100347,-99.25963757,19.1684882
100348,-99.21199082,19.16762619
100349,-99.16434468,19.16674932
100350,-99.11669916,19.16585759
100351,-99.06905426,19.16495101
100352,-99.02141001,19.16402957
100353,-98.9737664,19.16309327
100354,-98.92612344,19.16214211
100355,-98.87848116,19.1611761
100356,-98.83083956,19.16019524
100357,-98.78319864,19.15919951
100358,-98.73555843,19.15818893
100359,-98.68791893,19.1571635
100360,-98.64028014,19.15612321
100361,-98.59264209,19.15506807
100362,-98.54500478,19.15399807
100363,-98.49736822,19.15291322
100364,-98.44973242,19.15181351
100365,-98.40209739,19.15069895
100366,-98.35446315,19.14956954
100367,-98.30682969,19.14842527
101319,-100.5934867,19.23164202
101320,-100.5458114,19.23119598
101321,-100.4981365,19.23073508
101322,-100.4504619,19.23025931
101323,-100.4027876,19.22976868
101324,-100.3551137,19.22926318
101325,-100.3074401,19.22874281
101326,-100.2597669,19.22820757
101327,-100.2120941,19.22765747
101328,-100.1644217,19.22709251
101329,-100.1167497,19.22651268
101330,-100.069078,19.22591798
101331,-100.0214068,19.22530842
101332,-99.97373607,19.22468399
101333,-99.92606575,19.2240447
101334,-99.87839588,19.22339055
101335,-99.83072647,19.22272153
101336,-99.78305753,19.22203764
101337,-99.73538908,19.22133889
101338,-99.68772111,19.22062528
101339,-99.64005366,19.2198968
101340,-99.59238671,19.21915346
101341,-99.54472029,19.21839526
101342,-99.49705441,19.21762219
101343,-99.44938907,19.21683426
101344,-99.40172428,19.21603147
101345,-99.35406006,19.21521381
101346,-99.30639642,19.21438129
101347,-99.25873336,19.21353391
101348,-99.2110709,19.21267167
101349,-99.16340905,19.21179457
101350,-99.11574782,19.2109026
101351,-99.06808721,19.20999577
101352,-99.02042724,19.20907409
101353,-98.97276792,19.20813754
101354,-98.92510926,19.20718613
101355,-98.87745127,19.20621986
101356,-98.82979395,19.20523873
101357,-98.78213733,19.20424274
101358,-98.73448141,19.20323189
101359,-98.6868262,19.20220618
101360,-98.63917171,19.20116562
101361,-98.59151795,19.20011019
101362,-98.54386493,19.19903991
101363,-98.49621267,19.19795477
101364,-98.44856117,19.19685477
101365,-98.40091044,19.19573991
101366,-98.35326049,19.1946102
101367,-98.30561134,19.19346562
102319,-100.5930223,19.27668976
102320,-100.5453313,19.27624361
102321,-100.4976407,19.27578258
102322,-100.4499503,19.27530668
102323,-100.4022603,19.27481592
102324,-100.3545707,19.27431028
102325,-100.3068814,19.27378977
102326,-100.2591924,19.2732544
102327,-100.2115039,19.27270415
102328,-100.1638157,19.27213903
102329,-100.116128,19.27155905
102330,-100.0684406,19.27096419
102331,-100.0207537,19.27035447
102332,-99.9730672,19.26972987
102333,-99.92538114,19.26909041
102334,-99.87769554,19.26843608
102335,-99.8300104,19.26776688
102336,-99.78232573,19.26708281
102337,-99.73464155,19.26638387
102338,-99.68695786,19.26567007
102339,-99.63927467,19.2649414
102340,-99.591592,19.26419786
102341,-99.54390985,19.26343945
102342,-99.49622824,19.26266618
102343,-99.44854717,19.26187803
102344,-99.40086666,19.26107503
