"CLAVE","CVE_EST","NOMBRE","MUNICIPIO","SITUACION","Latitud","Longitud","Altitud"
30201,"ver","Alvarado (DGE)","Alvarado","Suspendida",18.77083333,-95.75555556,5
30202,"ver","San Pedro Amatitlan","Amatitlˇn","Suspendida",18.45,-95.75,5
30203,"ver","Cacalilao","Pˇnuco","Suspendida",22.15277778,-98.17277778,35
30204,"ver","Catemaco (CFE)","Catemaco","Suspendida",18.41361111,-95.11916667,338
30205,"ver","Cosamaloapan De Carpio (DGE)","Cosamaloapan De Carpio","Suspendida",18.36666667,-95.8,10
30206,"ver","Coscomatepec (DGE)","Coscomatepec","Suspendida",19.07,-97.02833333,1473
30207,"ver","Chicontepec De Tejeda (DGE)","Chicontepec","Suspendida",20.96944444,-98.16833333,611
30209,"ver","Ixhuacan De Los Reyes (CFE)","Ixhuacˇn De Los Reyes","Suspendida",19.35555556,-97.11666667,1802
30210,"ver","Fort≠n","Fort≠n","Operando",18.91444444,-97.01416667,1079
30211,"ver","Las Vigas","Las Vigas De Ram≠rez","Operando",19.63888889,-97.10972222,2426
30212,"ver","Maltrata (SMN)","Maltrata","Suspendida",18.81111111,-97.275,1720
30213,"ver","Mart≠nez De La Torre (SMN)","Mart≠nez De La Torre","Suspendida",20.06666667,-97.05,63
30214,"ver","Nanchital (DGE)","Nanchital De Lˇzaro Cˇrdenas Del R≠o","Suspendida",18.07222222,-94.40972222,20
30216,"ver","Naranjal","Lerdo De Tejada","Operando",18.64638889,-95.53194444,10
30217,"ver","La Cumbre","Emiliano Zapata","Operando",19.37833333,-96.68305556,449
30218,"ver","Pueblo Viejo","Las Choapas","Suspendida",17.35694444,-94.17777778,59
